               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,     train/lmmd_loss,       train/fg_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,       val/lmmd_loss,         val/fg_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.047172,            0.013663,           0.0092825,                   0,             0.60982,             0.83821,             0.29398,             0.36293,             0.15539,            0.046936,            0.032366,           0.0047461,                   0,                   0,          0.00096484,          0.00096484,          0.00096484
                  40,            0.039378,            0.022427,            0.004196,                   0,             0.60488,              0.8478,              0.2963,             0.37451,             0.15602,            0.047778,            0.029959,           0.0045547,                   0,                   0,          0.00096299,          0.00096299,          0.00096299
                  41,            0.034095,           0.0047792,           0.0034196,                   0,             0.59173,             0.84093,             0.31751,             0.37115,             0.14413,            0.047707,            0.028101,           0.0043572,                   0,                   0,           0.0009611,           0.0009611,           0.0009611
                  42,            0.060193,            0.017505,           0.0053612,                   0,             0.60091,              0.8699,             0.33333,             0.40549,             0.16564,             0.04669,            0.026816,           0.0041837,                   0,                   0,          0.00095916,          0.00095916,          0.00095916
                  43,            0.031692,           0.0056475,           0.0032918,                   0,             0.59929,             0.89836,             0.34722,             0.42025,             0.17411,            0.047112,             0.02577,            0.004073,                   0,                   0,          0.00095717,          0.00095717,          0.00095717
                  44,            0.043473,            0.011792,           0.0046015,                   0,             0.61091,             0.90199,             0.35185,             0.43279,             0.18003,            0.046603,            0.024866,           0.0040313,                   0,                   0,          0.00095514,          0.00095514,          0.00095514
                  45,            0.047917,            0.011603,           0.0097242,                   0,               0.614,             0.91391,             0.35185,             0.44742,             0.18031,            0.045653,            0.024807,           0.0039661,                   0,                   0,          0.00095307,          0.00095307,          0.00095307
                  46,            0.049755,            0.010433,           0.0045851,                   0,             0.60076,             0.90365,             0.33942,             0.43853,             0.18274,            0.045493,            0.024748,           0.0039052,                   0,                   0,          0.00095095,          0.00095095,          0.00095095
                  47,            0.064801,            0.014486,            0.013513,                   0,                0.61,             0.90262,             0.34454,             0.44447,              0.1893,            0.045827,            0.024155,           0.0037864,                   0,                   0,          0.00094879,          0.00094879,          0.00094879
                  48,             0.06443,            0.011785,           0.0058554,                   0,             0.60247,             0.89972,             0.35069,             0.45418,              0.1982,            0.047289,            0.023582,           0.0036884,                   0,                   0,          0.00094659,          0.00094659,          0.00094659
                  49,            0.023655,           0.0043254,           0.0030542,                   0,             0.59892,              0.8439,             0.33102,             0.41941,             0.14005,            0.046817,            0.023432,           0.0035788,                   0,                   0,          0.00094434,          0.00094434,          0.00094434
                  50,            0.057942,           0.0087185,           0.0098117,                   0,             0.61149,             0.90682,             0.36887,             0.50009,             0.22092,            0.045598,            0.023152,            0.003518,                   0,                   0,          0.00094205,          0.00094205,          0.00094205
                  51,            0.040639,            0.016872,           0.0065927,                   0,             0.61939,             0.87514,             0.34722,              0.4988,             0.20544,            0.046719,            0.022645,           0.0034646,                   0,                   0,          0.00093971,          0.00093971,          0.00093971
                  52,            0.035907,            0.012788,           0.0051155,                   0,             0.60011,             0.92465,             0.35417,             0.53807,             0.22898,            0.046277,            0.022157,           0.0033362,                   0,                   0,          0.00093733,          0.00093733,          0.00093733
                  53,              0.0436,            0.007482,           0.0051251,                   0,             0.59753,             0.42409,             0.58958,             0.54947,             0.22953,             0.04482,            0.022147,           0.0031541,                   0,                   0,          0.00093491,          0.00093491,          0.00093491
                  54,            0.048284,           0.0064904,           0.0080423,                   0,             0.60807,             0.45424,             0.65302,             0.60001,              0.2514,            0.046578,            0.021587,           0.0030009,                   0,                   0,          0.00093245,          0.00093245,          0.00093245
                  55,            0.040477,           0.0096025,           0.0033792,                   0,             0.62422,             0.47928,             0.65071,               0.614,             0.25881,            0.045047,            0.021472,           0.0029055,                   0,                   0,          0.00092995,          0.00092995,          0.00092995
                  56,            0.041965,           0.0093327,           0.0027957,                   0,             0.60184,             0.51794,             0.65707,             0.64165,             0.28397,            0.044993,            0.021194,           0.0028611,                   0,                   0,           0.0009274,           0.0009274,           0.0009274
                  57,             0.05017,           0.0082078,           0.0067063,                   0,             0.60301,             0.55898,              0.6624,             0.65843,             0.28745,            0.044969,            0.020645,           0.0028437,                   0,                   0,          0.00092481,          0.00092481,          0.00092481
                  58,            0.027887,            0.008854,           0.0024455,                   0,              0.6131,              0.5844,             0.66594,             0.67574,             0.27752,             0.04522,            0.020273,           0.0028453,                   0,                   0,          0.00092219,          0.00092219,          0.00092219
                  59,            0.047813,           0.0061399,           0.0034363,                   0,             0.59343,             0.65692,             0.64329,             0.66112,               0.291,            0.044566,            0.019865,           0.0027942,                   0,                   0,          0.00091952,          0.00091952,          0.00091952
                  60,            0.064213,            0.010666,           0.0048609,                   0,             0.60779,               0.672,             0.63954,              0.6679,              0.2849,            0.044299,            0.019384,           0.0027766,                   0,                   0,          0.00091681,          0.00091681,          0.00091681
                  61,            0.042255,            0.011967,           0.0026574,                   0,             0.62116,             0.64964,             0.64738,             0.67675,             0.28558,            0.044408,            0.019265,           0.0027483,                   0,                   0,          0.00091406,          0.00091406,          0.00091406
                  62,            0.033573,           0.0075394,           0.0031695,                   0,             0.61166,             0.68048,             0.64736,             0.67631,             0.29191,            0.043821,            0.018914,           0.0027222,                   0,                   0,          0.00091127,          0.00091127,          0.00091127
                  63,             0.03852,           0.0062409,           0.0060281,                   0,             0.62006,             0.66335,             0.64627,             0.68031,             0.31635,            0.044475,            0.018972,           0.0026954,                   0,                   0,          0.00090844,          0.00090844,          0.00090844
                  64,            0.049281,            0.011275,           0.0098093,                   0,             0.59277,             0.62705,             0.64628,             0.65126,             0.27052,            0.044019,            0.018784,           0.0026978,                   0,                   0,          0.00090557,          0.00090557,          0.00090557
                  65,            0.049352,           0.0093579,           0.0063761,                   0,             0.59695,             0.72064,             0.63686,             0.69841,             0.31932,            0.043033,            0.018608,           0.0026781,                   0,                   0,          0.00090266,          0.00090266,          0.00090266
