               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,     train/lmmd_loss,       train/fg_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,       val/lmmd_loss,         val/fg_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.044412,             0.03458,           0.0022634,                   0,             0.59959,              0.9782,              0.3939,             0.45812,             0.24332,            0.032051,            0.013174,            0.002722,                   0,                   0,          0.00093971,          0.00093971,          0.00093971
                  52,            0.043086,            0.025311,           0.0013111,                   0,             0.58963,             0.98767,              0.3939,             0.46059,             0.25107,            0.030171,            0.013121,           0.0027051,                   0,                   0,          0.00093733,          0.00093733,          0.00093733
                  53,            0.046873,            0.017787,           0.0015877,                   0,             0.59076,             0.98315,             0.39244,             0.45943,             0.25018,            0.030508,             0.01309,           0.0026722,                   0,                   0,          0.00093491,          0.00093491,          0.00093491
                  54,            0.046543,            0.018524,           0.0069133,                   0,             0.58942,             0.98891,             0.39244,             0.46191,             0.25003,            0.029948,            0.013078,           0.0026662,                   0,                   0,          0.00093245,          0.00093245,          0.00093245
                  55,            0.055265,            0.025776,           0.0052857,                   0,             0.59229,             0.99253,             0.39535,             0.46559,             0.25283,            0.030234,            0.012992,           0.0026452,                   0,                   0,          0.00092995,          0.00092995,          0.00092995
                  56,            0.043486,            0.033934,           0.0018173,                   0,             0.59259,             0.98043,             0.39244,              0.4656,             0.24555,              0.0309,            0.013006,           0.0026317,                   0,                   0,           0.0009274,           0.0009274,           0.0009274
                  57,             0.04721,            0.027254,           0.0019046,                   0,             0.60168,             0.98778,             0.39099,             0.46715,             0.24846,            0.030369,             0.01298,           0.0025961,                   0,                   0,          0.00092481,          0.00092481,          0.00092481
                  58,            0.055088,            0.049529,            0.002186,                   0,             0.61425,             0.98729,             0.39004,             0.47195,             0.24862,            0.030859,            0.012968,           0.0025921,                   0,                   0,          0.00092219,          0.00092219,          0.00092219
                  59,            0.043814,            0.026653,           0.0021801,                   0,             0.59808,             0.97673,             0.38707,             0.47156,             0.24507,            0.031421,            0.012993,           0.0025621,                   0,                   0,          0.00091952,          0.00091952,          0.00091952
                  60,             0.04941,            0.030603,           0.0019539,                   0,             0.59837,             0.98908,             0.39041,             0.48427,             0.26119,            0.030949,            0.012925,           0.0025355,                   0,                   0,          0.00091681,          0.00091681,          0.00091681
                  61,            0.044854,             0.03197,           0.0027168,                   0,             0.60436,             0.99544,             0.39244,             0.50372,             0.27661,            0.028803,            0.012646,           0.0024974,                   0,                   0,          0.00091406,          0.00091406,          0.00091406
                  62,            0.052151,            0.021218,           0.0021045,                   0,             0.59855,             0.99179,              0.3939,             0.52161,             0.28754,            0.028553,            0.012782,           0.0024509,                   0,                   0,          0.00091127,          0.00091127,          0.00091127
                  63,            0.049364,             0.02929,           0.0024832,                   0,             0.59676,             0.98875,              0.3939,             0.54202,              0.2778,            0.028495,            0.012766,           0.0024055,                   0,                   0,          0.00090844,          0.00090844,          0.00090844
                  64,             0.05502,            0.034381,           0.0020784,                   0,             0.60173,             0.99136,             0.39244,             0.54278,              0.2903,            0.029097,            0.012729,           0.0023646,                   0,                   0,          0.00090557,          0.00090557,          0.00090557
                  65,            0.047521,            0.026327,           0.0016841,                   0,             0.59258,               0.993,             0.39535,             0.57012,             0.30356,            0.028436,            0.012593,           0.0023438,                   0,                   0,          0.00090266,          0.00090266,          0.00090266
                  66,            0.044158,            0.021931,           0.0015109,                   0,             0.59485,             0.98942,             0.38663,             0.59035,             0.29567,            0.029263,            0.012579,           0.0023343,                   0,                   0,          0.00089972,          0.00089972,          0.00089972
                  67,             0.05467,            0.032054,           0.0026535,                   0,             0.60103,             0.56427,             0.55438,             0.60424,             0.31769,            0.029616,            0.012474,           0.0022923,                   0,                   0,          0.00089673,          0.00089673,          0.00089673
                  68,             0.05567,            0.021946,           0.0075503,                   0,             0.58619,             0.55622,             0.57038,             0.60173,             0.31551,            0.029208,            0.012552,           0.0022485,                   0,                   0,          0.00089371,          0.00089371,          0.00089371
                  69,             0.06574,            0.035844,           0.0032964,                   0,             0.60182,             0.54831,             0.56235,             0.60598,             0.32067,            0.028158,            0.012573,           0.0022047,                   0,                   0,          0.00089065,          0.00089065,          0.00089065
                  70,            0.052109,            0.041601,           0.0022826,                   0,             0.59705,             0.56189,             0.56205,             0.60955,             0.32153,            0.028225,            0.012596,           0.0021435,                   0,                   0,          0.00088755,          0.00088755,          0.00088755
                  71,            0.041275,            0.029625,           0.0010637,                   0,             0.59772,             0.56529,             0.58576,             0.62033,             0.32543,            0.028416,            0.012534,           0.0021161,                   0,                   0,          0.00088442,          0.00088442,          0.00088442
                  72,            0.049751,            0.029265,           0.0028666,                   0,             0.60945,             0.56044,             0.60327,             0.63185,             0.33885,            0.028454,            0.012371,           0.0020983,                   0,                   0,          0.00088124,          0.00088124,          0.00088124
                  73,            0.051211,            0.019723,           0.0012957,                   0,             0.59166,             0.57473,             0.61956,             0.62337,             0.33621,            0.028853,            0.012421,           0.0020548,                   0,                   0,          0.00087804,          0.00087804,          0.00087804
                  74,            0.041738,            0.034154,           0.0012791,                   0,             0.60064,             0.60444,             0.63326,             0.63489,             0.33458,            0.028559,            0.012377,           0.0020308,                   0,                   0,          0.00087479,          0.00087479,          0.00087479
                  75,            0.044992,            0.029185,           0.0019373,                   0,             0.59247,             0.60128,             0.64796,             0.64553,             0.32391,            0.030692,            0.012526,           0.0020074,                   0,                   0,          0.00087151,          0.00087151,          0.00087151
                  76,            0.054866,            0.025241,           0.0013686,                   0,             0.59686,             0.55142,              0.6616,             0.63271,             0.32646,            0.028676,            0.012325,           0.0019724,                   0,                   0,           0.0008682,           0.0008682,           0.0008682
                  77,            0.064942,            0.031643,           0.0014458,                   0,              0.5963,             0.54505,             0.66673,             0.63621,             0.33177,             0.02816,            0.012223,           0.0019255,                   0,                   0,          0.00086485,          0.00086485,          0.00086485
                  78,            0.040004,            0.025619,           0.0018773,                   0,             0.58989,             0.56149,             0.65522,             0.63764,             0.33163,            0.027643,            0.012285,           0.0018752,                   0,                   0,          0.00086146,          0.00086146,          0.00086146
                  79,            0.040994,            0.024547,           0.0012573,                   0,             0.58916,             0.56262,             0.64573,              0.6376,             0.33107,             0.02785,            0.012314,           0.0018184,                   0,                   0,          0.00085805,          0.00085805,          0.00085805
                  80,            0.046879,            0.037093,           0.0016821,                   0,              0.6101,              0.6147,             0.65675,              0.6551,             0.33229,             0.02754,            0.012298,           0.0017693,                   0,                   0,          0.00085459,          0.00085459,          0.00085459
                  81,            0.039612,            0.026666,           0.0018113,                   0,             0.59746,             0.62109,             0.67092,             0.66784,             0.32483,             0.02837,            0.012413,           0.0017416,                   0,                   0,          0.00085111,          0.00085111,          0.00085111
                  82,            0.044655,            0.017906,          0.00087556,                   0,             0.58878,             0.62506,             0.70869,             0.67583,             0.34093,            0.027421,            0.012387,           0.0017138,                   0,                   0,          0.00084759,          0.00084759,          0.00084759
                  83,             0.05885,            0.027784,           0.0036391,                   0,             0.60007,             0.59721,             0.70869,             0.67463,             0.32857,            0.028643,            0.012299,           0.0016822,                   0,                   0,          0.00084404,          0.00084404,          0.00084404
                  84,            0.053932,             0.03644,           0.0031046,                   0,             0.60295,             0.62339,             0.69181,             0.68714,             0.33859,            0.028083,             0.01227,           0.0016548,                   0,                   0,          0.00084046,          0.00084046,          0.00084046
                  85,            0.044067,            0.025314,           0.0026868,                   0,             0.58942,             0.66275,             0.68459,             0.69444,             0.34088,            0.027913,            0.012163,           0.0016202,                   0,                   0,          0.00083684,          0.00083684,          0.00083684
                  86,            0.044575,            0.022466,           0.0010718,                   0,             0.59024,             0.62574,             0.65024,             0.67672,             0.32563,            0.027866,            0.012016,           0.0015728,                   0,                   0,          0.00083319,          0.00083319,          0.00083319
                  87,            0.046611,            0.027551,           0.0011202,                   0,             0.59108,             0.66168,             0.69553,             0.68808,             0.33109,            0.027303,            0.011983,           0.0015452,                   0,                   0,          0.00082952,          0.00082952,          0.00082952
                  88,            0.048125,            0.027392,           0.0012423,                   0,             0.59725,             0.67768,             0.70578,             0.68785,             0.34529,             0.02713,            0.011853,           0.0015036,                   0,                   0,          0.00082581,          0.00082581,          0.00082581
                  89,            0.055249,            0.029137,           0.0022652,                   0,             0.59583,             0.70154,             0.70724,             0.71309,              0.3492,            0.027442,             0.01202,           0.0014656,                   0,                   0,          0.00082207,          0.00082207,          0.00082207
                  90,            0.042086,            0.029211,          0.00071099,                   0,              0.5891,             0.72643,             0.71203,             0.71195,             0.34246,            0.027371,            0.011994,           0.0014394,                   0,                   0,           0.0008183,           0.0008183,           0.0008183
                  91,            0.047141,            0.012228,             0.00193,                   0,             0.58568,             0.71751,             0.70037,             0.70779,             0.34645,               0.027,            0.011938,           0.0014135,                   0,                   0,           0.0008145,           0.0008145,           0.0008145
                  92,            0.041078,             0.02114,           0.0016632,                   0,             0.58967,             0.64955,             0.70211,             0.67085,             0.32612,            0.026906,            0.011933,           0.0014007,                   0,                   0,          0.00081068,          0.00081068,          0.00081068
